127.0.0.1 - - [09/Nov/2021:23:22:03 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:04 +0700] "GET /webbanmatkinh/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:06 +0700] "GET /webbanmatkinh/trang-chu HTTP/1.1" 200 25682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/jquery.superslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/carousel-ticker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/superslides.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/bootstrap-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/inewsticker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/bootsnav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/baguetteBox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/code_animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/bootsnav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/form-validator.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/images-loded.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/isotope.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/web/js/baguetteBox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:22:07 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
