127.0.0.1 - - [07/Dec/2021:21:16:52 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:01 +0700] "GET /webbanmatkinh/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/trang-chu HTTP/1.1" 200 25687
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/css/responsive.css HTTP/1.1" 200 7488
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/css/custom.css HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/css/style.css HTTP/1.1" 200 63186
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/css/bootstrap.min.css HTTP/1.1" 200 140427
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/js/inewsticker.js HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/css/all.css HTTP/1.1" 200 45691
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/js/popper.min.js HTTP/1.1" 200 20342
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/js/jquery-3.2.1.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/js/bootstrap.min.js HTTP/1.1" 200 50737
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:06 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/css/carousel-ticker.css HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/css/superslides.css HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/css/owl.carousel.min.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/js/jquery.superslides.min.js HTTP/1.1" 200 7885
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/js/bootstrap-select.js HTTP/1.1" 200 90175
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/css/bootsnav.css HTTP/1.1" 200 36406
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/css/code_animate.css HTTP/1.1" 200 73029
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/css/jquery-ui.css HTTP/1.1" 200 37284
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/css/bootstrap-select.css HTTP/1.1" 200 10726
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/css/baguetteBox.min.css HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/js/images-loded.min.js HTTP/1.1" 200 5565
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/js/form-validator.min.js HTTP/1.1" 200 6063
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/web/js/contact-form-script.js HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/image/mat-kinh-nam.png HTTP/1.1" 200 301244
0:0:0:0:0:0:0:1 - - [07/Dec/2021:21:17:07 +0700] "GET /webbanmatkinh/template/image/mat-kinh-nu.png HTTP/1.1" 200 381845
